Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.880V,1.040V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
727,2720.000000,-520.000000
728,2720.000000,-480.000000
729,2720.000000,-520.000000
730,2720.000000,-480.000000
731,2720.000000,-480.000000
732,2720.000000,-480.000000
733,2680.000000,-520.000000
734,2720.000000,-520.000000
735,2720.000000,-480.000000
736,2720.000000,-480.000000
737,2680.000000,-520.000000
738,2680.000000,-480.000000
739,2680.000000,-520.000000
740,2680.000000,-480.000000
741,2680.000000,-480.000000
742,2680.000000,-480.000000
743,2680.000000,-520.000000
744,2680.000000,-520.000000
745,2680.000000,-480.000000
746,2680.000000,-520.000000
747,2680.000000,-480.000000
748,2640.000000,-480.000000
749,2640.000000,-480.000000
750,2680.000000,-480.000000
751,2640.000000,-520.000000
752,2680.000000,-480.000000
753,2680.000000,-520.000000
754,2680.000000,-480.000000
755,2680.000000,-480.000000
756,2640.000000,-520.000000
757,2680.000000,-480.000000
758,2640.000000,-520.000000
759,2640.000000,-480.000000
760,2600.000000,-480.000000
761,2640.000000,-480.000000
762,2640.000000,-480.000000
763,2640.000000,-520.000000
764,2600.000000,-520.000000
765,2640.000000,-480.000000
766,2600.000000,-480.000000
767,2640.000000,-520.000000
768,2600.000000,-520.000000
769,2600.000000,-480.000000
770,2600.000000,-520.000000
771,2600.000000,-480.000000
772,2600.000000,-480.000000
773,2600.000000,-480.000000
774,2600.000000,-480.000000
775,2600.000000,-520.000000
776,2600.000000,-520.000000
777,2600.000000,-520.000000
778,2600.000000,-520.000000
779,2560.000000,-520.000000
780,2600.000000,-520.000000
781,2600.000000,-480.000000
782,2600.000000,-520.000000
783,2560.000000,-480.000000
784,2560.000000,-480.000000
785,2560.000000,-480.000000
786,2560.000000,-520.000000
787,2560.000000,-480.000000
788,2560.000000,-480.000000
789,2600.000000,-480.000000
790,2560.000000,-520.000000
791,2560.000000,-480.000000
792,2560.000000,-520.000000
793,2560.000000,-520.000000
794,2560.000000,-520.000000
795,2560.000000,-480.000000
796,2560.000000,-480.000000
797,2560.000000,-480.000000
798,2560.000000,-520.000000
799,2560.000000,-520.000000
800,2560.000000,-480.000000
801,2560.000000,-520.000000
802,2560.000000,-520.000000
803,2520.000000,-480.000000
